addr	size	symbol	best_fuzzy	reason	hypothesis	attempts	parked_at
00101d68	320	_ZN2dk9SoftReset16softReset_threadEP4TASK	54.75	4 consecutive attempts without improving fuzzy_pct	stuck on the same codegen difference	8	2026-08-19T18:56:40Z
00102080	172	func_00102080	0.0	3 consecutive candidates failed to compile or link	model cannot produce a compiling candidate	3	2026-08-20T01:52:09Z
00103500	80	func_00103500	0.0	attempt budget (2) exhausted	ran out of attempts	3	2026-08-19T17:20:40Z
00103748	108	_ZN4MENU16DestoryAllocatorEv	50.56	4 consecutive attempts without improving fuzzy_pct	stuck on the same codegen difference	5	2026-08-20T00:08:11Z
00104910	312	_ZN4AREA5startEv	99.94	4 consecutive attempts without improving fuzzy_pct	stuck on the same codegen difference	7	2026-08-19T18:53:15Z
00105370	80	_ZN4AREA15CreateAllocatorEjj	68.55	4 consecutive attempts without improving fuzzy_pct	stuck on the same codegen difference	6	2026-08-19T17:26:16Z
00105a20	212	func_00105a20	0.0	4 consecutive attempts without improving fuzzy_pct	stuck on the same codegen difference	4	2026-08-19T18:50:36Z
0010e6e0	256	func_0010e6e0	32.41	4 consecutive attempts without improving fuzzy_pct	stuck on the same codegen difference	5	2026-08-20T03:40:57Z
0010f340	260	func_0010f340	20.72	4 consecutive attempts without improving fuzzy_pct	stuck on the same codegen difference	6	2026-08-19T18:53:15Z
001182d0	88	func_001182d0	0.0	4 consecutive attempts without improving fuzzy_pct	stuck on the same codegen difference	4	2026-08-19T22:57:13Z
0011ea40	84	_ZN2kn8ModelObj13playAnimationEf	75.09	4 consecutive attempts without improving fuzzy_pct	stuck on the same codegen difference	8	2026-08-20T03:50:32Z
00129008	84	func_00129008	77.38	4 consecutive attempts without improving fuzzy_pct	stuck on the same codegen difference	5	2026-08-19T18:41:22Z
001364b8	164	_ZN2gm9GUMI_MENU4initEP4TASK	18.07	4 consecutive attempts without improving fuzzy_pct	stuck on the same codegen difference	5	2026-08-19T18:43:46Z
00136968	80	func_00136968	75.6	4 consecutive attempts without improving fuzzy_pct	stuck on the same codegen difference	6	2026-08-19T17:25:58Z
00139858	116	_ZN2dk5Obj2D9showGroupEi	0.0	4 consecutive attempts without improving fuzzy_pct	stuck on the same codegen difference	4	2026-08-19T23:00:07Z
001398d0	116	_Z13func_001398d0i	32.45	4 consecutive attempts without improving fuzzy_pct	stuck on the same codegen difference	11	2026-08-19T23:09:44Z
00139948	116	func_00139948	0.0	4 consecutive attempts without improving fuzzy_pct	stuck on the same codegen difference	4	2026-08-19T23:00:22Z
